"res_og_node_name","con_og_node_name"
"Hurdia dentata","Laggania nathorsti"
"Hurdia triangulata","Laggania nathorsti"
"Hurdia vicroria","Laggania nathorsti"
"zooplankton","Hurdia dentata"
"Burgessia bella","Hurdia dentata"
"Canadaspis ovalis","Hurdia dentata"
"Canadaspis perfecta","Hurdia dentata"
"Marella splendens","Hurdia dentata"
"Naraoia compacta","Hurdia dentata"
"Waptia fieldensis","Hurdia dentata"
"Yohoia tenuis","Hurdia dentata"
"Chancia palliseri","Hurdia dentata"
"Oryctocephalus burgessensis","Hurdia dentata"
"Oryctocephalus matthewi","Hurdia dentata"
"Oryctoecphalus reynoldsi","Hurdia dentata"
"zooplankton","Hurdia triangulata"
"Burgessia bella","Hurdia triangulata"
"Canadaspis ovalis","Hurdia triangulata"
"Canadaspis perfecta","Hurdia triangulata"
"Marella splendens","Hurdia triangulata"
"Naraoia compacta","Hurdia triangulata"
"Waptia fieldensis","Hurdia triangulata"
"Yohoia tenuis","Hurdia triangulata"
"Chancia palliseri","Hurdia triangulata"
"Oryctocephalus burgessensis","Hurdia triangulata"
"Oryctocephalus matthewi","Hurdia triangulata"
"Oryctoecphalus reynoldsi","Hurdia triangulata"
"zooplankton","Hurdia vicroria"
"Burgessia bella","Hurdia vicroria"
"Canadaspis ovalis","Hurdia vicroria"
"Canadaspis perfecta","Hurdia vicroria"
"Marella splendens","Hurdia vicroria"
"Naraoia compacta","Hurdia vicroria"
"Waptia fieldensis","Hurdia vicroria"
"Yohoia tenuis","Hurdia vicroria"
"Chancia palliseri","Hurdia vicroria"
"Oryctocephalus burgessensis","Hurdia vicroria"
"Oryctocephalus matthewi","Hurdia vicroria"
"Oryctoecphalus reynoldsi","Hurdia vicroria"
"Haplophrentis carinatus","Opabinia regalis"
"Burgessochaeta setigera","Opabinia regalis"
"Canadia spinosa","Opabinia regalis"
"Peronochaeta dubia","Opabinia regalis"
"Stephanoscolex argutus","Opabinia regalis"
"Aluta? Sp.","Opabinia regalis"
"Ancalagon minor","Opabinia regalis"
"Fieldia lanceolata","Opabinia regalis"
"Louisella pedunculata","Opabinia regalis"
"Ottoia prolifica","Opabinia regalis"
"Selkirkia columbia","Opabinia regalis"
"""Ottoia"" tenuis","Opabinia regalis"
"Oesia disjuncta","Opabinia regalis"
"Portalia mira","Opabinia regalis"
"Haplophrentis carinatus","Ancalagon minor"
"Scenella amii","Ancalagon minor"
"Burgessochaeta setigera","Ancalagon minor"
"Canadia spinosa","Ancalagon minor"
"Peronochaeta dubia","Ancalagon minor"
"Stephanoscolex argutus","Ancalagon minor"
"Aluta? sp.","Ancalagon minor"
"Ancalagon minor","Ancalagon minor"
"Fieldia lanceolata","Ancalagon minor"
"Selkirkia columbia","Ancalagon minor"
"""Ottoia"" tenuis","Ancalagon minor"
"Oesia disjuncta","Ancalagon minor"
"Portalia mira","Ancalagon minor"
"suspended organic matter","Fieldia lanceolata"
