"con_number","consumer_sp","res_number","resource_sp","certainty"
"117","yohoia tenuis","153","""ottoia"" tenuis","2"
"117","yohoia tenuis","162","oesia disjuncta","2"
"117","yohoia tenuis","166","portalia mira","2"
"118","chancia palliseri","4","detritus","1"
"119","ehmaniella burgessensis","4","detritus","1"
"120","ehmaniella waptaensis","4","detritus","1"
"121","elrathia permulta","4","detritus","1"
"122","elrathina brevifrons","4","detritus","1"
"123","elrathina crodillerae","4","detritus","1"
"126","olenoides serratus","67","burgessochaeta setigera","2"
"126","olenoides serratus","68","canadia spinosa","2"
"126","olenoides serratus","70","peronochaeta dubia","2"
"126","olenoides serratus","71","stephanoscolex argutus","2"
"126","olenoides serratus","79","aysheaia pedunculata","2"
"126","olenoides serratus","80","hallucigenia sparsa","2"
"126","olenoides serratus","83","aluta? sp.","2"
"126","olenoides serratus","98","molaria spinifera","2"
"126","olenoides serratus","143","fieldia lanceolata","2"
"126","olenoides serratus","144","louisella pedunculata","2"
"126","olenoides serratus","145","ottoia prolifica","2"
"126","olenoides serratus","146","selkirkia columbia","2"
"126","olenoides serratus","162","oesia disjuncta","2"
"126","olenoides serratus","166","portalia mira","2"
"127","oryctocephalus burgessensis","67","burgessochaeta setigera","1"
"127","oryctocephalus burgessensis","68","canadia spinosa","1"
"127","oryctocephalus burgessensis","70","peronochaeta dubia","1"
"127","oryctocephalus burgessensis","71","stephanoscolex argutus","1"
"127","oryctocephalus burgessensis","79","aysheaia pedunculata","1"
