"con_number","consumer_sp","res_number","resource_sp","certainty"
"97","kuanyangia pusulosa","65","kunmingella douvillei","2"
"97","kuanyangia pusulosa","69","naraoia longicaudata","1"
"97","kuanyangia pusulosa","70","naraoia sponosa","1"
"97","kuanyangia pusulosa","72","odaraia? eurypetala*","1"
"97","kuanyangia pusulosa","75","pisinnocaris subconigera*","1"
"97","kuanyangia pusulosa","83","sinoburius lunaris","1"
"97","kuanyangia pusulosa","85","squamacula clypeata","1"
"97","kuanyangia pusulosa","91","waptia ovata","1"
"97","kuanyangia pusulosa","95","yunaannocaris megista","1"
"97","kuanyangia pusulosa","103","haikoucaris ercaiensis","1"
"98","yunnanocephalus yunnanensis","45","brachiocaris? yunnanensis","1"
"98","yunnanocephalus yunnanensis","46","canadaspis laevigata*","1"
"98","yunnanocephalus yunnanensis","56","fortiforceps foliosa","1"
"98","yunnanocephalus yunnanensis","61","jinagfengia multisegmentalis","1"
"98","yunnanocephalus yunnanensis","65","kunmingella douvillei","2"
"98","yunnanocephalus yunnanensis","69","naraoia longicaudata","1"
"98","yunnanocephalus yunnanensis","70","naraoia sponosa","1"
"98","yunnanocephalus yunnanensis","72","odaraia? eurypetala*","1"
"98","yunnanocephalus yunnanensis","75","pisinnocaris subconigera*","1"
"98","yunnanocephalus yunnanensis","83","sinoburius lunaris","1"
"98","yunnanocephalus yunnanensis","85","squamacula clypeata","1"
"98","yunnanocephalus yunnanensis","91","waptia ovata","1"
"98","yunnanocephalus yunnanensis","95","yunaannocaris megista","1"
"98","yunnanocephalus yunnanensis","103","haikoucaris ercaiensis","1"
"99","amplectobelua symbrachiata","45","brachiocaris? yunnanensis","1"
"99","amplectobelua symbrachiata","46","canadaspis laevigata*","1"
"99","amplectobelua symbrachiata","47","chengjiangocaris longiformis","2"
"99","amplectobelua symbrachiata","56","fortiforceps foliosa","1"
"99","amplectobelua symbrachiata","57","fuxianhuia protensa","2"
"99","amplectobelua symbrachiata","61","jinagfengia multisegmentalis","1"
"99","amplectobelua symbrachiata","63","kuamaia lata","2"
"99","amplectobelua symbrachiata","67","leanchoilia illecebrosa*","2"
"99","amplectobelua symbrachiata","69","naraoia longicaudata","1"
"99","amplectobelua symbrachiata","70","naraoia sponosa","1"
"99","amplectobelua symbrachiata","72","odaraia? eurypetala*","1"
"99","amplectobelua symbrachiata","75","pisinnocaris subconigera*","1"
"99","amplectobelua symbrachiata","79","retifacis abnormalis*","2"
"99","amplectobelua symbrachiata","81","saperion glumaceum","2"
"99","amplectobelua symbrachiata","82","sidneyia sinica","2"
"99","amplectobelua symbrachiata","91","waptia ovata","1"
"99","amplectobelua symbrachiata","95","yunaannocaris megista","1"
"99","amplectobelua symbrachiata","102","cucumericrus decoratus","2"
"99","amplectobelua symbrachiata","103","haikoucaris ercaiensis","1"
"99","amplectobelua symbrachiata","104","parapeytoia yunnanensis","2"
"100","anomalocaris saron","45","brachiocaris? yunnanensis","1"
"100","anomalocaris saron","46","canadaspis laevigata*","1"
"100","anomalocaris saron","47","chengjiangocaris longiformis","2"
"100","anomalocaris saron","56","fortiforceps foliosa","1"
"100","anomalocaris saron","57","fuxianhuia protensa","2"
"100","anomalocaris saron","61","jinagfengia multisegmentalis","1"
"100","anomalocaris saron","63","kuamaia lata","2"
"100","anomalocaris saron","67","leanchoilia illecebrosa*","2"
"100","anomalocaris saron","69","naraoia longicaudata","1"
"100","anomalocaris saron","70","naraoia sponosa","1"
"100","anomalocaris saron","72","odaraia? eurypetala*","1"
"100","anomalocaris saron","75","pisinnocaris subconigera*","1"
"100","anomalocaris saron","79","retifacis abnormalis*","2"
"100","anomalocaris saron","81","saperion glumaceum","2"
